Routine	Type  (INT: interactive text,  e.g. button; TXT: written text)	English (original study)	English (our study)	Italian (our study)	Inglese Studio nostro
Routine 3 — Welcome	TXT		Welcome to the experiment!	Benvenuto all'esperimento!	
Routine 3 — Welcome	INT		Click to start	Clicca per iniziare	
Routine 4 — Instructions	TXT		Instructions	Istruzioni	
Routine 4 — Instructions	INT		Next	Avanti	
Routine 4 — Instructions	INT		Back	Indietro	
Routine 4 — Instructions	INT		Continue	Continua	
					
Routine 4 — Instructions	TXT	Imagine that you are a medical doctor who works at the Hospital Emergency Department	Imagine you are a doctor working in the emergency room of a hospital. 	Immagina di essere un medico che lavora nel pronto soccorso di un ospedale.	
Routine 4 — Instructions	TXT	You are a specialist in a rare and dangerous disease called 'Lindsay Syndrome' which must be treated quickly in the emergency room.	You are a specialist in a rare and dangerous disease called 'Lindsay Syndrome', which must be treated quickly in the emergency room.	Sei uno specialista in una malattia rara e pericolosa chiamata "Sindrome di Lindsay", che deve essere trattata rapidamente in pronto soccorso.	
Routine 4 — Instructions	TXT	Crises induced by this illness may be stopped immediately by using a medicine called 'Batatrim', but this medicine is still in testing stage, and therefore its reliability has not been completely proven yet.	Crises induced by this disease can be stopped immediately with a medicine called 'Batatrim', which is still in the testing stage. Its reliability has not yet been completely proven.	Le crisi indotte da questa malattia possono essere fermate immediatamente con un farmaco chiamato "Batatrim", che è ancora in fase di sperimentazione. La sua affidabilità non è stata ancora completamente provata.	
Routine 4 — Instructions	TXT	In addition, you should know that it may produce several side effects, which can be severe, so it cannot always be used.	In addition, this medicine may produce several side effects, which can be severe, so it cannot always be used.	Inoltre, questo farmaco può produrre molti effetti collaterali, che possono essere gravi, quindi non può essere sempre utilizzato.	
Routine 4 — Instructions	TXT	When you click on the 'Start' button, you will be presented with a series of medical records of patients suffering from 'Lindsay Syndrome'.	Next, you will be presented with a series of medical records of patients suffering from Lindsay Syndrome.	In seguito, ti verranno presentate una serie di cartelle cliniche di pazienti che soffrono della Sindrome di Lindsay.	
Routine 4 — Instructions	TXT	In each record, you will first know whether or not the patient had taken Batatrim, and you will be asked to indicate whether you think the patient will recover from the crisis.	In each record, you will first see whether the patient had taken Batatrim, and you will be asked to indicate whether you think the patient will recover from the crisis.	In ogni cartella, prima vedrai se il paziente ha preso il Batatrim, e ti verrà chiesto di indicare se pensi che il paziente si riprenderà dalla crisi.	
Routine 4 — Instructions	TXT	Then, you will see whether or not the patient actually recovered from the crisis.	Then, you will see whether the patient actually recovered from the crisis.	Poi vedrai se il paziente si è effettivamente ripreso dalla crisi.	
Routine 4 — Instructions	TXT	Try to find out the extent to which Batatrim is actually effective. 	Try to find out the extent to which Batatrim is actually effective. 	Cerca di scoprire in che misura il Batatrim è realmente efficace.	
Routine 4 — Instructions	TXT	Once you have seen a number of patients, you will be asked a few questions.	Once you have seen a number of medical records, you will be asked a few questions.	Una volta che avrai visto un certo numero di cartelle cliniche, ti verranno fatte alcune domande.	
Routine 4 — Instructions	TXT		Before you begin reviewing these medical records, you will be asked a question related to the story you have just read.	Prima di iniziare l’osservazione di queste cartelle cliniche, ti verrà presentata una domanda relativa alla storia che hai appena letto.	
