Alfa.started,Alfa.stopped,alfa_mouse.x,alfa_mouse.y,alfa_mouse.leftButton,alfa_mouse.midButton,alfa_mouse.rightButton,alfa_mouse.clicked_name,participant,group,date,expName,psychopyVersion,OS,frameRate,ITI.started,ITI.stopped,B_consensoinformato.started,B_consensoinformato.stopped,tempo_consenso,cons_mouse.x,cons_mouse.y,cons_mouse.leftButton,cons_mouse.midButton,cons_mouse.rightButton,A_benvenuto.started,A_benvenuto.stopped,ben_mouse.x,ben_mouse.y,ben_mouse.leftButton,ben_mouse.midButton,ben_mouse.rightButton,B2_istruzioni.started,B2_istruzioni.stopped,tempo_istru,cons_mouse_2.x,cons_mouse_2.y,cons_mouse_2.leftButton,cons_mouse_2.midButton,cons_mouse_2.rightButton,SAMevaluation.started,SAMevaluation.stopped,temposam,sliderintensity.response,sliderintensity.rt,slidervalence.response,slidervalence.rt,mouse_sam.x,mouse_sam.y,mouse_sam.leftButton,mouse_sam.midButton,mouse_sam.rightButton,mouse_sam.time,mouse_sam.clicked_name,Loading.started,Loading.stopped,C_associative_task.started,C_associative_task.stopped,tempo_trial,hapremutosi,hapremutono,tempo_tasktot,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cond,causa,effetto,D_VD.started,D_VD.stopped,tempo_vd,vd.response,vd.rt,mouse_vd.x,mouse_vd.y,mouse_vd.leftButton,mouse_vd.midButton,mouse_vd.rightButton,Previous.started,Previous.stopped,tempo_vd1,previous.response,previous.rt,mouse_vd_2.x,mouse_vd_2.y,mouse_vd_2.leftButton,mouse_vd_2.midButton,mouse_vd_2.rightButton,EstENG.TrialNN,EstENG.TrialNS,EstENG.TrialSS,EstENG.TrialSN,ingesta.thisRepN,ingesta.thisTrialN,ingesta.thisN,ingesta.thisIndex,ingesta.ran,PF.started,PF.stopped,tempo_pf,processfluency.response,processfluency.rt,mouse_ch.x,mouse_ch.y,mouse_ch.leftButton,mouse_ch.midButton,mouse_ch.rightButton,Questionario_Lingua.Age,Questionario_Lingua.Sesso,Questionario_Lingua.StaiStudiando?,Questionario_Lingua.Anniscolarita,Questionario_Lingua.Diploma,Questionario_Lingua.Punteggiodiploma,Questionario_Lingua.Altridiplo,Questionario_Lingua.ItaMADRE?,Questionario_Lingua.Q4(AoAITA),Questionario_Lingua.INGmadre?,Questionario_Lingua.Q5(AOAIng),Questionario_Lingua.INGLETTURA,Questionario_Lingua.INGCOMPRESO,Questionario_Lingua.INGSCRITTO,Questionario_Lingua.INGPARLATO,Questionario_Lingua.ITALETT,Questionario_Lingua.ITACOMP,Questionario_Lingua.ITASCRI,Questionario_Lingua.ITAPARL,Questionario_Lingua.haivissutoestero,ProvaInglese.ProcediamoENg,ProvaInglese.C1,ProvaInglese.C2,ProvaInglese.C3,ProvaInglese.C4,ProvaInglese.C5,ProvaInglese.C6,ProvaInglese.C7,ProvaInglese.C8,ProvaInglese.C9,ProvaInglese.C10,ProvaInglese.C11,ProvaInglese.C12,ProvaInglese.C13,ProvaInglese.C14,ProvaInglese.C15,ProvaInglese.C16,ProvaInglese.C17,ProvaInglese.C18,ProvaInglese.C19,ProvaInglese.C20,ProvaInglese.C21,ProvaInglese.C22,ProvaInglese.C23,ProvaInglese.C24,ProvaInglese.C25,ProvaInglese.controlquestion,Ant_lastquestion.started,Ant_lastquestion.stopped,exp_loop.thisRepN,exp_loop.thisTrialN,exp_loop.thisN,exp_loop.thisIndex,exp_loop.ran
0.001,1.066,-0.078703704,-0.009259259,1,0,0,alfa_mask,pilot_participant,2,2025-03-25_14h35.21.956,CLTandFLE,2024.1.5,MacIntel,71.42857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,pilot_participant,2,2025-03-25_14h35.21.956,CLTandFLE,2024.1.5,MacIntel,71.42857143,1.066,1.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,pilot_participant,2,2025-03-25_14h35.21.956,CLTandFLE,2024.1.5,MacIntel,71.42857143,,,1.893,37.999,36.105,0.24537037,-0.391666667,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,pilot_participant,2,2025-03-25_14h35.21.956,CLTandFLE,2024.1.5,MacIntel,71.42857143,206.098,206.898,,,,,,,,,38.798,43.934,0.014814815,-0.106481481,1,0,0,44.734,172.887,128.152,-0.068518519,-0.37037037,1,0,0,173.687,198.296,24.608,0,7.377,1,21.389,"[0,0.019444444444444445,0.06018518518518518]","[0.1962962962962963,0.003703703703703704,-0.19907407407407407]","[1,1,1]","[0,0,0]","[0,0,0]","[4.96599999999998,20.38499999999999,24.599999999999994]","[""sliderintensity"",""slidervalence"",""rettoksam""]",199.096,206.098,206.916,212.568,5.651,1,0,5.651,-0.167592593,-0.050925926,0,0,0,0,0,0,17,1,b,The patient has taken Batatrim,The patient has not overcome the crisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,pilot_participant,2,2025-03-25_14h35.21.956,CLTandFLE,2024.1.5,MacIntel,71.42857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.568,217.022,4.454,1,0,10.105,-0.165740741,-0.046296296,1,0,0,0,1,1,16,1,b,The patient has taken Batatrim,The patient has not overcome the crisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,pilot_participant,2,2025-03-25_14h35.21.956,CLTandFLE,2024.1.5,MacIntel,71.42857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.023,220.797,3.774,1,0,13.879,-0.165740741,-0.046296296,1,0,0,0,2,2,13,1,a,The patient has taken Batatrim,The patient has overcome the crisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,pilot_participant,2,2025-03-25_14h35.21.956,CLTandFLE,2024.1.5,MacIntel,71.42857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.797,226.879,6.082,1,0,19.961,-0.165740741,-0.047222222,1,0,0,0,3,3,38,1,d,The patient has not taken Batatrim,The patient has not overcome the crisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,pilot_participant,2,2025-03-25_14h35.21.956,CLTandFLE,2024.1.5,MacIntel,71.42857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.88,230.854,3.974,0,1,23.935,0.12962963,-0.041666667,0,0,0,0,4,4,35,1,d,The patient has not taken Batatrim,The patient has not overcome the crisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,pilot_participant,2,2025-03-25_14h35.21.956,CLTandFLE,2024.1.5,MacIntel,71.42857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.854,234.869,4.014,1,0,27.949,0.061111111,-0.035185185,0,0,0,0,5,5,36,1,d,The patient has not taken Batatrim,The patient has not overcome the crisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,pilot_participant,2,2025-03-25_14h35.21.956,CLTandFLE,2024.1.5,MacIntel,71.42857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.869,238.737,3.867,0,1,31.816,0.203703704,-0.035185185,0,0,0,0,6,6,27,1,c,The patient has not taken Batatrim,The patient has overcome the crisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
