Variable number,"Variable name on Psychopy output file
(time variables in red)",Variable name for analysis in R,"Row number on Psychopy file
(for retrieving the variable)",Description,Language,"Mandatory variable?
(alternative variables in blue)",Condition
1,participant,participant,1,Participant Code,x,YES,
2,group,condition,1,"Group Assignment (1 = Italian, non-1 = English)",x,YES,
3,date,date,1,Date and Time of the Experiment,x,YES,
4,tempo_consenso,t_consenso,3,Time Spent on the Informed Consent Page (in milliseconds),x,YES,
5,tempo_istru,t_istruzioni,4,Time Spent on the Instruction Page (in milliseconds),x,YES,
6,temposam,t_sam,4,Time Spent on the Affective Slider Page (in milliseconds),x,YES,
7,sliderintensity.response,intensita,4,Self-Rating of Emotional Intensity (numeric scale from 0 to 1; 0.5 is the midpoint),ITA / ENG,YES,
8,slidervalence.response,valenza,4,Self-Rating of Emotional Valence (numeric scale from 0 to 1; 0.5 is the midpoint),ITA / ENG,YES,
9,tempo_tasktot,t_task,43,Time Spent on the Associative Task (in milliseconds),x,YES,
10,tempo_vd,t_causalita,44,Time Spent on the Dependent Variable Page (in milliseconds),x,YES,
11,vd.response,causalita,44,"Main Dependent Variable (Illusion of Causality, 101-point Likert scale; from 0 to 100)",ITA / ENG,YES,
12,tempo_vd1,t_esperienza,44,Time Spent on the Previous Knowledge Question Page (in milliseconds),x,YES,
13,previous.response,esperienza,44,Previous Knowledge Response (101-point Likert scale; from 0 to 100),ITA / ENG,YES,
14,EstENG.TrialNN,trial_nn_e,44,"Response to the Question: ""How many times did you see Batatrim absent and the heal absent?"" (in English, number between 0 and 100)",ENG,ALTERNATIVE ENG I,"If the participant is assigned to the ""English group"" (the corresponding variable in Italian is ""trial_nn_i"")"
15,EstENG.TrialNS,trial_ns_e,44,"Response to the Question: ""How many times did you see Batatrim absent and the heal present?"" (in English, number between 0 and 100)",ENG,ALTERNATIVE ENG II,"If the participant is assigned to the ""English group"" (the corresponding variable in Italian is ""trial_ns_i"")"
16,EstENG.TrialSN,trial_sn_e,44,"Response to the Question: ""How many times did you see Batatrim present and the heal absent?"" (in English, number between 0 and 100)",ENG,ALTERNATIVE ENG III,"If the participant is assigned to the ""English group"" (the corresponding variable in Italian is ""trial_sn_i"")"
17,EstENG.TrialSS,trial_ss_e ,44,"Response to the Question: ""How many times did you see Batatrim present and the heal present?"" (in English, number between 0 and 100)",ENG,ALTERNATIVE ENG IV,"If the participant is assigned to the ""English group"" (the corresponding variable in Italian is ""trial_ss_i"")"
18,EstITA.TrialD,trial_nn_i,44,"Response to the Question: ""How many times did you see Batatrim absent and the heal absent?"" (in Italian, number between 0 and 100)",ITA,ALTERNATIVE ITA I,"If the participant is assigned to the ""Italian group"" (the corresponding variable in English is ""trial_nn_e"")"
19,EstITA.TrialNS,trial_ns_i,44,"Response to the Question: ""How many times did you see Batatrim absent and the heal present?"" (in Italian, number between 0 and 100)",ITA,ALTERNATIVE ITA II,"If the participant is assigned to the ""Italian group"" (the corresponding variable in English is ""trial_ns_e"")"
